word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
o=on	1.0	-5.44	0	0	60	2	1	1	1	1218	47	1	1	1	4
svelg@n	1.0	-5.62	0	1	467	38	12	3	1	1218	861	72	4	1	7
tros	1.0	-3.69	12	14	173	53	13	2	2	210	24	5	1	1	4
dizix	1.0	-5.36	2	2	118	24	3	1	1	121	74	4	2	1	5
slot	1.0	-4.56	6	7	467	44	4	2	2	508	20	4	1	1	4
lynx@n	1.0	-6.27	0	0	192	5	1	1	1	1218	861	43	1	1	6
pik@n	1.0	-4.58	12	12	214	20	2	1	1	1218	861	83	11	1	5
s&fot	1.0	-5.68	0	1	467	17	3	1	1	508	20	1	1	1	5
=ypres@	1.0	-7.45	0	0	95	7	1	1	1	684	43	5	2	1	7
strolx	1.0	-5.62	0	0	467	130	35	8	1	121	6	3	1	1	6
imun	1.0	-5.55	2	2	67	10	1	1	1	1218	15	1	1	1	4
gel	1.0	-3.92	10	15	234	22	4	4	4	286	19	1	1	1	3
g@=im@n	1.0	-6.12	0	0	234	72	1	1	1	1218	861	34	8	2	7
slit@rn	1.0	-5.12	6	8	467	44	11	2	2	1218	104	87	24	4	7
n/rg@ln	1.0	-6.17	0	0	89	1	1	1	1	1218	67	67	5	1	7
zopran	1.0	-7.84	0	0	142	25	1	1	1	1218	32	6	1	1	6
knorp@l	1.0	-6.51	0	0	456	33	8	1	1	286	162	13	1	1	7
fail@	1.0	-4.73	8	9	259	27	10	4	1	684	67	12	5	1	5
melis@ngaist	1.0	-13.01	0	0	247	37	5	1	1	508	79	14	6	2	12
k|ls	1.0	-4.59	0	0	456	4	1	1	1	210	6	1	1	1	4
ainbyrg@rn	1.0	-9.11	0	0	90	41	28	2	1	1218	104	87	5	2	10
radi	1.0	-6.7	0	0	165	36	1	1	1	95	2	1	1	1	4
stipvizit@	1.0	-10.18	0	0	467	130	12	1	1	684	89	7	2	1	10
lili@	1.0	-6.82	2	2	192	31	2	1	1	684	16	2	2	1	5
sk&lp	1.0	-6.66	0	1	467	8	1	1	1	52	7	6	2	1	5
rom&n=@	1.0	-7.4	0	0	165	22	3	1	1	684	29	8	5	1	7
jovial	1.0	-6.76	0	0	43	6	1	1	1	286	36	1	1	1	6
ferp|n@n	1.0	-5.5	0	0	259	56	36	1	1	1218	861	67	7	1	8
b&stai	1.0	-7.27	0	0	263	35	1	1	1	95	16	3	1	1	6
tuf	1.0	-4.6	12	12	173	15	1	1	1	48	4	1	1	1	3
tuba	1.0	-6.6	0	0	173	15	1	1	1	78	1	1	1	1	4
