word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
dr}p	1.0	-4.44	8	9	224	50	6	2	2	148	7	1	1	1	4
matreis	1.0	-6.59	0	0	254	80	9	4	1	333	34	12	4	1	7
paladein	1.0	-8.38	0	0	370	74	9	1	1	282	75	46	2	1	8
tok@l@	1.0	-5.08	2	2	273	37	1	1	1	1727	266	163	25	3	6
veiz@l	1.0	-5.37	0	2	204	40	10	2	2	415	204	10	1	1	6
klints	1.0	-5.58	0	0	602	103	18	5	1	333	49	6	4	1	6
doj@	1.0	-3.99	20	21	224	34	2	1	1	1727	86	10	1	1	4
nimf	1.0	-6.08	0	0	92	14	1	1	1	110	2	1	1	1	4
klov@	1.0	-4.48	16	17	602	103	15	1	1	1727	64	10	3	1	5
s}t@l	1.0	-5.45	4	4	786	11	1	1	1	415	204	22	2	1	5
drls@	1.0	-4.92	6	7	224	50	3	1	1	1727	107	7	4	1	5
fr}ts@l@	1.0	-6.49	0	0	139	23	2	1	1	1727	266	163	9	4	8
swastika	1.0	-9.97	0	0	786	3	1	1	1	134	9	3	1	1	8
flip@	1.0	-4.88	8	8	139	34	5	1	1	1727	105	21	3	1	5
hos	1.0	-3.78	44	48	214	45	2	2	2	333	22	1	1	1	3
kornlt	1.0	-5.62	0	0	602	85	16	2	1	581	50	2	1	1	6
tonik	1.0	-5.62	0	0	273	37	5	1	1	249	43	4	1	1	5
p}ns	1.0	-4.85	6	7	370	16	2	1	1	333	38	2	1	1	4
beit	1.0	-4.0	24	28	372	43	10	5	5	581	48	18	2	2	4
safari	1.0	-7.97	0	0	786	41	2	1	1	121	19	3	1	1	6
matriks	1.0	-6.98	0	0	254	80	9	4	1	333	22	6	2	1	7
nop	1.0	-3.82	36	40	92	19	2	2	2	148	26	3	3	3	3
nor	1.0	-3.87	36	41	92	19	4	4	4	414	31	4	4	4	3
h|l@	1.0	-4.02	16	16	214	5	1	1	1	1727	266	4	1	1	4
st}lp	1.0	-4.95	4	7	786	177	9	2	2	148	12	6	2	1	5
kerf	1.0	-4.15	18	20	602	42	13	1	1	110	11	6	1	1	4
h}p@	1.0	-4.01	8	8	214	12	2	2	2	1727	105	2	1	1	4
mamon	1.0	-6.13	0	0	254	80	4	1	1	282	67	2	1	1	5
klets	1.0	-4.5	4	6	602	103	16	4	2	333	49	7	2	1	5
honix	1.0	-6.18	2	2	214	45	8	2	1	81	8	1	1	1	5
kram@	1.0	-4.31	18	21	602	79	19	3	1	1727	80	17	5	1	5
zebra	1.0	-6.53	0	0	176	41	1	1	1	134	15	3	1	1	5
xeil@	1.0	-4.53	14	17	221	32	8	2	1	1727	266	24	9	1	5
kink@l	1.0	-5.33	2	2	602	30	3	1	1	415	204	30	6	2	6
dalija	1.0	-6.3	0	0	224	25	3	1	1	134	23	19	3	1	6
frim@l@	1.0	-5.83	4	4	139	23	3	1	1	1727	266	163	16	3	7
sxof@l@	1.0	-4.67	4	4	786	166	22	3	1	1727	266	163	9	3	7
zweim	1.0	-5.03	4	5	176	46	23	4	2	162	13	5	1	1	5
plet	1.0	-3.65	18	25	370	65	15	4	4	581	55	16	2	2	4
swin@	1.0	-4.95	8	10	786	3	2	1	1	1727	118	37	5	1	5
zombi	1.0	-6.75	0	0	176	17	3	1	1	121	5	1	1	1	5
tur@	1.0	-4.02	22	23	273	13	3	1	1	1727	214	8	1	1	4
morm@l	1.0	-5.36	2	2	254	52	10	1	1	415	204	14	1	1	6
vj|	1.0	-4.65	0	0	204	1	1	1	1	8	3	1	1	1	3
hev@l@	1.0	-4.91	6	6	214	51	1	1	1	1727	266	163	6	3	6
vl|x	1.0	-4.51	6	7	204	41	3	2	2	81	4	1	1	1	4
)tr@	1.0	-6.26	0	0	2	1	1	1	1	1727	214	1	1	1	4
wik@l	1.0	-4.52	4	7	183	32	4	3	2	415	204	30	6	1	5
fmn	1.0	-3.88	8	9	139	3	2	2	2	282	3	1	1	1	3
dram@	1.0	-4.49	16	18	224	50	12	1	1	1727	80	17	5	1	5
minaret	1.0	-8.16	0	0	254	29	9	1	1	581	55	11	3	1	7
biskwi	1.0	-8.07	0	0	372	26	2	1	1	121	5	1	1	1	6
sxavlt	1.0	-6.65	2	2	786	166	32	3	1	581	50	1	1	1	6
legywan	1.0	-8.06	0	0	217	51	6	1	1	282	50	5	1	1	7
serp	1.0	-4.61	2	3	786	41	11	1	1	148	5	2	1	1	4
sxak	1.0	-3.93	20	21	786	166	32	4	4	249	38	1	1	1	4
kapyson	1.0	-7.5	0	0	602	135	12	1	1	282	67	6	1	1	7
ponso	1.0	-6.9	2	2	370	36	3	2	1	83	3	1	1	1	5
pelyw	1.0	-5.79	0	0	370	51	6	1	1	44	10	3	1	1	5
krik@	1.0	-4.13	18	20	602	79	12	1	1	1727	162	32	6	1	5
mod@m	1.0	-5.12	4	5	254	52	5	3	1	162	19	5	2	1	5
klif	1.0	-4.07	20	23	602	103	18	1	1	110	17	4	1	1	4
zoj	1.0	-4.23	24	25	176	17	1	1	1	29	11	1	1	1	3
walhala	1.0	-8.28	0	0	183	48	9	1	1	134	17	3	1	1	7
blat@	1.0	-4.56	6	10	372	61	12	2	1	1727	176	13	2	1	5
zox	1.0	-4.17	34	37	176	17	1	1	1	81	14	1	1	1	3
klit	1.0	-3.97	20	24	602	103	18	3	3	581	48	4	1	1	4
r}ntx@	1.0	-7.08	0	0	230	14	3	2	1	1727	7	1	1	1	6
knek@l	1.0	-5.25	6	6	602	52	13	1	1	415	204	30	5	1	6
k}lpa	1.0	-6.54	0	0	602	12	2	1	1	134	5	1	1	1	5
knel	1.0	-3.92	10	14	602	52	13	2	2	415	51	6	1	1	4
r}s	1.0	-3.78	36	38	230	14	3	3	3	333	19	2	2	2	3
ravot@	1.0	-6.43	0	0	230	52	3	1	1	1727	176	12	1	1	6
syp@r	1.0	-5.26	0	0	786	3	1	1	1	414	228	13	1	1	5
fop@	1.0	-4.33	14	15	139	23	1	1	1	1727	105	19	1	1	4
p}mp	1.0	-5.48	4	5	370	16	1	1	1	148	16	1	1	1	4
izabel	1.0	-8.28	0	0	34	1	1	1	1	415	51	5	2	1	6
trox	1.0	-4.31	12	14	273	56	11	1	1	81	14	3	1	1	4
an@mon	1.0	-8.07	0	0	149	22	2	1	1	282	67	2	1	1	6
t}t@	1.0	-4.45	14	15	273	9	1	1	1	1727	176	5	2	2	4
reil@	1.0	-4.18	26	28	230	50	17	1	1	1727	266	24	9	1	5
narsis	1.0	-8.04	0	0	92	18	2	1	1	333	34	1	1	1	6
zep@	1.0	-3.9	16	17	176	41	3	2	2	1727	105	11	1	1	4
sxans	1.0	-4.79	4	5	786	166	32	2	1	333	38	11	2	1	5
m}tsj@	1.0	-5.86	0	0	254	15	2	2	1	1727	86	4	2	1	6
brokoli	1.0	-7.92	0	0	372	59	10	3	1	121	11	2	1	1	7
zeik@	1.0	-4.4	16	18	176	41	9	1	1	1727	162	32	9	1	5
gem	1.0	-4.79	8	9	7	1	1	1	1	162	16	1	1	1	3
sxilf@r@	1.0	-6.89	0	1	786	166	19	7	2	1727	214	109	3	1	8
ut	1.0	-4.05	14	20	5	1	1	1	1	581	19	19	19	19	2
sonar	1.0	-6.03	0	1	786	32	4	2	1	414	41	3	1	1	5
zwenk	1.0	-4.75	0	2	176	46	23	5	2	249	31	4	2	1	5
pen@	1.0	-3.61	22	27	370	51	12	3	3	1727	118	17	2	2	4
sport@	1.0	-5.08	6	9	786	111	9	4	2	1727	176	14	7	1	6
snat@r@	1.0	-5.67	2	2	786	43	6	1	1	1727	214	109	35	4	7
st}t	1.0	-4.3	18	20	786	177	9	2	2	581	12	1	1	1	4
natrij}m	1.0	-7.57	0	1	92	18	3	1	1	162	23	15	12	3	8
puma	1.0	-5.68	0	0	370	11	1	1	1	134	18	1	1	1	4
klon@	1.0	-4.51	12	13	602	103	15	2	1	1727	118	9	2	1	5
pap@	1.0	-3.67	34	35	370	74	7	2	2	1727	105	18	1	1	4
n|z@	1.0	-4.01	4	5	92	4	1	1	1	1727	71	2	2	2	4
debakl@	1.0	-10.1	0	0	224	24	1	1	1	1727	266	1	1	1	7
jek@r	1.0	-5.14	8	8	65	10	2	1	1	414	228	26	4	1	5
kroxt	1.0	-4.78	4	5	602	79	13	1	1	581	46	4	1	1	5
anti	1.0	-5.47	0	1	149	22	4	3	3	121	5	2	2	2	4
hok@	1.0	-4.0	42	43	214	45	2	1	1	1727	162	22	1	1	4
lagyn@	1.0	-6.4	2	2	217	45	1	1	1	1727	118	5	1	1	6
fest@	1.0	-4.89	10	11	139	11	3	3	1	1727	176	26	6	1	5
zwab@r@	1.0	-6.05	0	0	176	46	16	1	1	1727	214	109	4	1	7
kju	1.0	-5.16	2	3	602	1	1	1	1	20	1	1	1	1	3
twit	1.0	-4.55	2	5	273	10	4	1	1	581	48	2	1	1	4
mask@r@	1.0	-6.76	0	1	254	80	6	2	2	1727	214	109	16	1	7
sxrok@	1.0	-4.73	8	9	786	166	29	6	1	1727	162	22	4	1	6
spant	1.0	-4.25	4	8	786	111	15	3	1	581	95	31	2	1	5
xes@l	1.0	-5.5	2	3	221	32	5	2	2	415	204	7	1	1	5
jyt@	1.0	-4.98	4	4	65	6	1	1	1	1727	176	1	1	1	4
snek	1.0	-4.51	12	15	786	43	10	1	1	249	26	2	1	1	4
tuf	1.0	-3.96	18	20	273	13	1	1	1	110	12	1	1	1	3
konsinj@	1.0	-7.52	0	0	602	85	15	3	1	1727	86	7	2	2	8
ara	1.0	-4.59	12	14	149	27	1	1	1	134	15	2	2	2	3
nust	1.0	-5.33	10	10	92	4	1	1	1	581	74	5	1	1	4
tost@	1.0	-5.2	10	12	273	37	2	2	1	1727	176	26	4	1	5
prak	1.0	-4.26	20	24	370	63	10	2	2	249	38	10	2	2	4
von@s@	1.0	-6.59	0	1	204	25	4	2	2	1727	107	2	2	1	6
kaftan	1.0	-7.1	0	0	602	135	5	2	1	282	50	8	1	1	6
kolon	1.0	-4.98	6	7	602	85	14	5	3	282	67	6	1	1	5
bop	1.0	-4.13	40	41	372	55	1	1	1	148	26	1	1	1	3
blax	1.0	-4.36	14	15	372	61	12	1	1	81	15	5	1	1	4
kaf@r	1.0	-4.46	8	9	602	135	5	1	1	414	228	7	1	1	5
pink@	1.0	-4.35	4	6	370	32	7	2	1	1727	162	25	9	1	5
p}lp	1.0	-4.16	8	10	370	16	3	1	1	148	12	6	1	1	4
paf	1.0	-3.94	26	29	370	74	2	2	2	110	14	1	1	1	3
dijak@	1.0	-5.43	0	0	224	26	4	4	1	1727	162	25	1	1	6
rak@r	1.0	-4.42	4	6	230	52	5	3	1	414	228	26	5	1	5
fr@gat	1.0	-8.11	0	0	139	23	1	1	1	581	43	2	1	1	6
apendiks	1.0	-9.04	0	0	149	9	2	1	1	333	22	6	1	1	8
zwend@l	1.0	-5.39	0	1	176	46	23	5	1	415	204	19	7	3	7
