word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
j{nk	48.0	-4.3	20	22	109	14	4	1	1	298	45	16	1	1	4
sprig	48.0	-5.4	4	6	784	80	15	6	1	80	16	4	2	1	5
5k1	48.0	-5.46	0	2	27	3	1	1	1	58	4	1	1	1	3
iklips	48.0	-8.55	0	1	96	2	1	1	1	407	9	2	2	1	6
m1m	48.0	-3.91	34	36	280	16	1	1	1	212	13	1	1	1	3
rift	48.0	-4.39	12	16	197	39	3	1	1	751	25	8	4	4	4
tin_	48.0	-4.56	12	14	323	30	8	1	1	83	22	12	1	1	4
jutensp	48.0	-8.66	0	0	109	12	5	1	1	540	37	6	2	1	7
spent	48.0	-4.61	2	3	784	80	8	2	1	751	106	16	1	1	5
qstrij	48.0	-7.91	0	0	27	1	1	1	1	109	19	5	1	1	6
smit	48.0	-4.35	14	17	784	18	2	1	1	751	163	6	1	1	4
trik	48.0	-4.03	28	33	323	84	15	2	2	298	59	12	2	2	4
h1l5	48.0	-5.29	4	5	199	8	2	1	1	166	29	1	1	1	4
s#in@s	48.0	-5.57	0	0	784	35	17	2	1	407	74	8	3	1	6
_em	47.0	-4.59	14	15	79	11	1	1	1	212	8	1	1	1	3
ven@m	47.0	-5.3	0	0	115	17	6	1	1	212	48	1	1	1	5
br5k	47.0	-5.14	14	14	361	66	3	1	1	298	17	3	1	1	4
es@lqn	47.0	-8.18	0	0	42	3	1	1	1	484	28	3	1	1	6
h{n@r	47.0	-5.45	2	2	199	30	6	1	1	332	261	2	2	1	5
tvd	47.0	-3.84	26	27	323	18	1	1	1	327	9	2	2	2	3
krin_	47.0	-4.9	4	4	535	79	20	3	1	83	22	12	5	1	5
bv_	47.0	-3.79	28	29	361	32	2	2	2	83	8	1	1	1	3
p{r@fin	47.0	-5.89	0	0	400	51	13	11	2	484	158	7	1	1	7
mju	47.0	-3.68	14	19	280	6	6	6	6	86	31	1	1	1	3
b{l@d	47.0	-5.3	4	4	361	33	7	5	1	327	21	2	2	1	5
{nt@m	47.0	-5.49	0	1	85	17	6	1	1	212	48	10	1	1	5
_ingp	47.0	-4.83	10	10	79	15	6	1	1	540	36	15	4	1	5
s{nk	47.0	-4.19	20	22	784	31	4	1	1	298	45	16	1	1	4
fr$t	47.0	-4.92	10	12	267	36	2	1	1	751	18	2	1	1	4
pigm@nt	47.0	-6.38	0	0	400	38	2	1	1	751	106	29	7	1	7
j1st	47.0	-4.65	14	15	109	5	2	1	1	751	90	6	1	1	4
skr$l	47.0	-5.11	6	7	784	97	22	1	1	278	22	6	2	1	5
v3tibr@	47.0	-8.99	0	0	115	12	3	2	1	181	27	5	2	1	7
k5v	47.0	-4.3	26	27	535	21	1	1	1	68	7	1	1	1	3
f$n@	47.0	-5.22	0	1	267	18	2	1	1	181	22	1	1	1	4
fluk	47.0	-4.48	12	14	267	59	4	1	1	298	13	2	1	1	4
l{ngwid	47.0	-6.98	0	0	192	24	6	2	1	327	74	7	1	1	7
vesti_	47.0	-6.93	0	0	115	17	3	2	1	83	14	1	1	1	6
lvg	47.0	-4.23	36	38	192	10	1	1	1	80	17	3	3	3	3
