lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper,mu.mp.f,mu.prob.f,mu.prob.mp,var.mp.f,var.prob.f,var.prob.mp,z.mp.f,z.prob.f,z.prob.mp,p.mp.f,p.prob.f,p.prob.mp,sig.mp.f,sig.prob.f,sig.prob.mp
af,3,0.282256124759771,0.353135437449585,0.636486726651425,1.62816417584537e-15,6.05736443923186e-24,2.37619140880336e-88,0.215777172392949,0.289584236448293,0.346130484425889,0.413586749315721,-0.000596318534657012,-0.0014444092813121,0.600213675376163,0.0365958621076733,0.0363909129504175,0.0178509569764031,7.72908266137337,9.74363702317695,2.03199477334522,1.08324321161349e-14,1.96396585008702e-22,0.0421541850737383,*,*,n.s
af,4,0.250149357441919,0.335293260540289,0.617649682032643,5.27429829389059e-23,4.79517018089802e-41,9.71296847330442e-160,0.202288182444959,0.289779212328685,0.296818452301851,0.379294249338004,-0.000712295063705291,0.00025384878916887,0.589554802240667,0.0261050128432803,0.0260679002433077,0.0171012134057111,9.60971189754457,12.8525661301444,1.64285885015581,7.27522615868613e-22,8.32036337145472e-38,0.10041214066223,*,*,n.s
af,5,0.178564958154033,0.316608417870068,0.584092589929445,3.10123496799213e-16,3.10885812225948e-49,6.58572223067651e-189,0.136449915650664,0.277230511088521,0.220035714673764,0.354924483063665,-0.00167204858624614,-0.00100231764521924,0.545524727656955,0.0222719746507138,0.0215210493044671,0.0151576355015541,8.09254722883328,14.758143574782,2.54445109651406,5.84297342475203e-16,2.72683750603473e-49,0.0109449636435384,*,*,n.s
af,6,0.162142601715147,0.250569649360423,0.413931379899143,3.25084782150114e-16,3.73305396062729e-37,2.98104579690527e-104,0.123757238472861,0.213493735897874,0.200043444493586,0.286924824849333,-5.67581921001166e-05,0.000751925675554402,0.421031025185851,0.0190611773697357,0.0200608307348977,0.0188502293551992,8.5094092962368,12.4530098970571,-0.37663442459652,1.74821689800324e-17,1.34668928969491e-35,0.706445301403168,*,*,n.s
af,7,0.139614716326563,0.258784542495168,0.325768006432047,3.40092952906582e-13,1.84789650356471e-42,1.30539985975172e-67,0.102383038360504,0.223194611931695,0.176455773937654,0.293685446012491,-0.001098284384141,-0.00105675451731367,0.328016152465215,0.0195102818591631,0.0191507676379875,0.0206253430502482,7.21224848141379,13.5681922481823,-0.108999206834565,5.50354253208321e-13,6.18281563206185e-42,0.913203119441979,*,*,n.s
als,3,0.286604189218891,0.287797457408259,0.530738742857678,1.70382277662537e-19,1.18914111241651e-19,1.96237471152923e-70,0.227267662533605,0.228500666372087,0.343820505184843,0.344966794283439,0.00143681751502211,0.000976704025861346,0.490363969758033,0.0349584878954754,0.0346886707365351,0.024020426446634,8.15731425674098,8.26842733643034,1.68085163639144,3.42556279839014e-16,1.35737593972992e-16,0.0927917359856353,*,*,n.s
als,4,0.272277190591779,0.274026712727268,0.545666665603678,2.01452754855551e-34,7.33557873416561e-35,2.03607837590648e-151,0.230632488386075,0.232421726370182,0.312926249478479,0.3146306907584,-0.000231688968725904,-0.000803595177508585,0.522001740852446,0.0236863566240627,0.0236989020987501,0.0163705705958063,11.5048879777343,11.5967527423674,1.44557727006133,1.24651093139047e-30,4.28012383007233e-31,0.148295805766466,*,*,n.s
als,5,0.270823496409564,0.273207458443782,0.514999552273638,4.58580031631341e-48,6.46146007722295e-49,1.04855763146386e-188,0.23607451304583,0.238504007492897,0.304880728625823,0.307214044464401,0.000731956861787783,0.000530555954977573,0.494757019885578,0.0194554463247078,0.0196639850013948,0.015778220858574,13.8825671249068,13.8668180671142,1.28294137656595,8.0797488073165e-44,1.00643322610498e-43,0.199512615297901,*,*,n.s
als,6,0.264503383353582,0.229606249821023,0.460041875361104,1.22492026761131e-47,5.16635724229386e-36,6.46965759562905e-152,0.230328390132449,0.19484222704282,0.29802672375856,0.263794120737681,9.60401289070717e-05,3.90997208954552e-05,0.422025626708002,0.0181831470421371,0.0181589968483034,0.016329819163308,14.5413410897434,12.6420612337722,2.32802631020689,6.62812845204323e-48,1.2376623974409e-36,0.019910706645256,*,*,n.s
als,7,0.306675049499852,0.246363838045691,0.38008321792148,1.23132325853219e-59,1.87295150162332e-38,4.00910903207428e-93,0.27202226657827,0.210517934461098,0.340533487633224,0.28154815152456,-0.000817703206633822,-0.00016891537886057,0.345808895652546,0.0195846326146723,0.0195466997732914,0.0203279133988674,15.7007159009008,12.6125001296339,1.68607183612085,1.49544870854659e-55,1.80184900752328e-36,0.0917819638626679,*,*,n.s
